0 	,8.176 	    
1 	,8.662 	    
2 	,9.177 	    
3 	,9.723 	    
4 	,10.301 	    
5 	,10.913 	    
6 	,11.562 	    
7 	,12.250 	    
8 	,12.978 	    
9 	,13.750 	    
10 	,14.568 	    
11 	,15.434 	    
12 	,16.352 	    
13 	,17.324 	    
14 	,18.354 	    
15 	,19.445 	    
16 	,20.601 	    
17 	,21.826 	    
18 	,23.124 	    
19 	,24.499 	    
20 	,25.956 	    
21 	,27.500 	    
22 	,29.135 	    
23 	,30.867 	    
24 	,32.703 	    
25 	,34.648 	    
26 	,36.708 	    
27 	,38.890 	    
28 	,41.203 	    
29 	,43.653 	    
30 	,46.249 	    
31 	,48.999 	    
32 	,51.913 	    
33 	,55.000 	    
34 	,58.270 	    
35 	,61.735 	    
36 	,65.406 	    
37 	,69.295 	    
38 	,73.416 	    
39 	,77.781 	    
40 	,82.406 	    
41 	,87.307 	    
42 	,92.499 	    
43 	,97.998 	    
44 	,103.82 	    
45 	,110.00 	    
46 	,116.56 	    
47 	,123.47 	    
48 	,130.81 	    
49 	,138.59 	    
50 	,146.83 	    
51 	,155.56 	    
52 	,164.81 	    
53 	,174.61 	    
54 	,184.99 	    
55 	,195.99 	    
56 	,207.65 	    
57 	,220.00 	    
58 	,233.08 	    
59 	,246.94 	    
60 	,261.63 	    
61 	,277.18 	    
62 	,293.66 	    
63 	,311.13 	    
64 	,329.63 	    
65 	,349.23 	    
66 	,369.99 	    
67 	,391.99 	    
68 	,415.31 	    
69 	,440.00 	    
70 	,466.16 	    
71 	,493.88 	    
72 	,523.25 	    
73 	,554.37 	    
74 	,587.33 	    
75 	,622.25 	    
76 	,659.26 	    
77 	,698.46 	    
78 	,739.99 	    
79 	,783.99 	    
80 	,830.61 	    
81 	,880.00 	    
82 	,932.32 	    
83 	,987.77 	    
84 	,1046.5 	    
85 	,1108.7 	    
86 	,1174.7 	    
87 	,1244.5 	    
88 	,1318.5 	    
89 	,1396.9 	    
90 	,1480.0 	    
91 	,1568.0 	    
92 	,1661.2 	    
93 	,1760.0 	    
94 	,1864.7 	    
95 	,1975.5 	    
96 	,2093.0 	    
97 	,2217.5 	    
98 	,2349.3 	    
99 	,2489.0 	    
100 ,2637.0 	    
101 ,2793.8 	    
102 ,2960.0 	    
103 ,3136.0 	    
104 ,3322.4 	    
105 ,3520.0 	    
106 ,3729.3 	    
107 ,3951.1 	    
108 ,4186.0 	    
109 ,4434.9 	    
110 ,4698.6 	    
111 ,4978.0 	    
112 ,5274.0 	    
113 ,5587.7 	    
114 ,5919.9 	    
115 ,6271.9 	    
116 ,6644.9 	    
117 ,7040.0 	    
118 ,7458.6 	    
119 ,7902.1 	    
120 ,8372.0 	    
121 ,8869.8 	    
122 ,9397.3 	    
123 ,9956.1 	    
124 ,10548.1 	
125 ,11175.3 	
126 ,11839.8 	
127 ,12543.9 	
